iter	Passed	Remaining
0	2	218
1	4	206
2	5	193
3	7	183
4	9	179
5	11	176
6	13	173
7	14	168
8	16	167
9	18	164
10	19	161
11	21	159
12	23	157
13	25	156
14	27	156
15	29	154
16	31	151
17	33	150
18	34	148
19	36	146
20	38	144
21	40	142
22	42	141
23	44	139
24	45	137
25	47	136
26	49	134
27	51	133
28	53	131
29	55	130
30	57	128
31	59	126
32	61	125
33	63	123
34	65	121
35	67	120
36	69	118
37	71	116
38	73	114
39	75	113
40	77	111
41	79	109
42	80	107
43	82	105
44	84	103
45	86	101
46	88	100
47	90	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	88
53	102	87
54	104	85
55	106	83
56	108	81
57	110	79
58	111	77
59	113	75
60	115	74
61	117	72
62	119	70
63	121	68
64	123	66
65	125	64
66	127	62
67	130	61
68	132	59
69	133	57
70	135	55
71	137	53
72	139	51
73	143	50
74	145	48
75	148	46
76	150	44
77	152	42
78	154	40
79	155	38
80	157	37
81	159	35
82	161	33
83	163	31
84	166	29
85	167	27
86	170	25
87	172	23
88	174	21
89	176	19
90	178	17
91	180	15
92	182	13
93	184	11
94	186	9
95	189	7
96	191	5
97	193	3
98	195	1
99	197	0
